Country,Date,Vaccine_Manufacturer,Total_Vaccinations,CountrywiseTotalVaccination,Percentage_of_Vaccination_2,Total_Percentage_of_Vaccination_2,Protection_from_Severe_Disease_Alpha_Ancestral,Protection_from_Infection_Alpha_Ancestral,Protection_from_Severe_Disease_Beta_Gamma_Delta,Protection_from_Infection_Beta_Gamma_Delta,Protection_from_Severe_Disease_Omicron,Protection_from_Infection_Omicron,Omicorn_Severe_Disease_Efficacy,Omicorn_Infection_Efficacy,Alpha_Ancestral_Severe_Disease_Efficacy,Alpha_Ancestral_Infection_Efficacy,Beta_Gamma_Delta_Severe_Disease_Efficacy,Beta_Gamma_Delta_Infection_Efficacy,Total_Omicorn_Severe_Disease_Efficacy,Total_Omicorn_Infection_Efficacy,Total_Alpha_Ancestral_Severe_Disease_Efficacy,Total_Alpha_Ancestral_Infection_Efficacy,Total_Beta_Gamma_Delta_Severe_Disease_Efficacy,Total_Beta_Gamma_Delta_Infection_Efficacy,Susceptible_BreakOut_for_Omicorn_Severe_Disease,Susceptible_BreakOut_for_Omicorn_Infection,Susceptible_BreakOut_for_Alpha_Ancestral_Severe_Disease,Susceptible_BreakOut_for_Alpha_Ancestral_Infection,Susceptible_BreakOut_for_Beta_Gamma_Delta_Severe_Disease,Susceptible_BreakOut_for_Beta_Gamma_Delta_Infection
Czechia,2022-10-17,Johnson&Johnson,413842,18239132,0.02268978589551301,100.0,86,72,76,64,57,33,1.2933177960442417,0.7487629345519293,1.951321587014119,1.6336645844769369,1.724423728058989,1.4521462973128327,71.69607495575995,43.718758875148225,94.92227141072283,85.09858243254119,94.69363322772158,83.44196050557669,28.303925044240046,56.281241124851775,5.0777285892771715,14.901417567458807,5.306366772278423,16.558039494423312
Czechia,2022-10-17,Moderna,1634751,18239132,0.0896287718077812,100.0,97,92,97,91,73,48,6.542900341968028,4.302181046773498,8.693990865354776,8.24584700631587,8.693990865354776,8.156218234508088,71.69607495575995,43.718758875148225,94.92227141072283,85.09858243254119,94.69363322772158,83.44196050557669,28.303925044240046,56.281241124851775,5.0777285892771715,14.901417567458807,5.306366772278423,16.558039494423312
Czechia,2022-10-17,Novavax,10468,18239132,0.0005739308208307281,100.0,89,83,86,82,65,43,0.03730550335399733,0.02467902529572131,0.0510798430539348,0.047636258128950434,0.04935805059144262,0.047062327308119704,71.69607495575995,43.718758875148225,94.92227141072283,85.09858243254119,94.69363322772158,83.44196050557669,28.303925044240046,56.281241124851775,5.0777285892771715,14.901417567458807,5.306366772278423,16.558039494423312
Czechia,2022-10-17,Pfizer/BioNTech,15292219,18239132,0.8384290984899939,100.0,95,86,95,84,72,44,60.36689509127956,36.890880333559736,79.65076435654942,72.10490247013948,79.65076435654942,70.42804427315949,71.69607495575995,43.718758875148225,94.92227141072283,85.09858243254119,94.69363322772158,83.44196050557669,28.303925044240046,56.281241124851775,5.0777285892771715,14.901417567458807,5.306366772278423,16.558039494423312
Denmark,2022-09-09,Oxford/AstraZeneca,155927,12218188,0.012761875983574651,100.0,94,63,94,69,71,36,0.9060931948338002,0.4594275354086874,1.1996163424560171,0.803998186965203,1.1996163424560171,0.880569442866651,72.07108132564338,44.4194051523843,95.23469339316108,86.49822338631554,95.1967082189274,84.71834825262142,27.928918674356623,55.5805948476157,4.765306606838919,13.501776613684456,4.803291781072602,15.281651747378575
Denmark,2022-09-30,Johnson&Johnson,46411,12218188,0.003798517423369161,100.0,86,72,76,64,57,33,0.21651549313204216,0.1253510749711823,0.3266724984097478,0.2734932544825796,0.28868732417605625,0.2431051150956263,72.07108132564338,44.4194051523843,95.23469339316108,86.49822338631554,95.1967082189274,84.71834825262142,27.928918674356623,55.5805948476157,4.765306606838919,13.501776613684456,4.803291781072602,15.281651747378575
Denmark,2022-09-30,Moderna,1720577,12218188,0.14082096297748897,100.0,97,92,97,91,73,48,10.279930297356694,6.759406222919471,13.65963340881643,12.955528593928985,13.65963340881643,12.814707630951496,72.07108132564338,44.4194051523843,95.23469339316108,86.49822338631554,95.1967082189274,84.71834825262142,27.928918674356623,55.5805948476157,4.765306606838919,13.501776613684456,4.803291781072602,15.281651747378575
Denmark,2022-09-30,Pfizer/BioNTech,10295273,12218188,0.8426186436155673,100.0,95,86,95,84,72,44,60.66854234032084,37.07522031908496,80.04877114347889,72.46520335093878,80.04877114347889,70.77996606370765,72.07108132564338,44.4194051523843,95.23469339316108,86.49822338631554,95.1967082189274,84.71834825262142,27.928918674356623,55.5805948476157,4.765306606838919,13.501776613684456,4.803291781072602,15.281651747378575
Ecuador,2022-01-28,CanSino,536882,29911659,0.017948920853905162,100.0,66,62,64,61,48,32,0.8615482009874478,0.5743654673249652,1.1846287763577408,1.11283309294212,1.1487309346499304,1.094884172088215,52.89885097981359,31.87179982226997,70.52256075131105,61.09999756282325,69.95800834717994,60.98632292511759,47.10114902018641,68.12820017773004,29.477439248688952,38.90000243717675,30.04199165282006,39.01367707488241
Ecuador,2022-01-28,Oxford/AstraZeneca,5009163,29911659,0.1674652348771427,100.0,94,63,94,69,71,36,11.890031676277133,6.028748455577137,15.741732078451415,10.55030979725999,15.741732078451415,11.555101206522847,52.89885097981359,31.87179982226997,70.52256075131105,61.09999756282325,69.95800834717994,60.98632292511759,47.10114902018641,68.12820017773004,29.477439248688952,38.90000243717675,30.04199165282006,39.01367707488241
